return_frequency,return_to_order_ratio,recent_return_count,return_value_ratio,avg_order_value,avg_return_value,account_age_days,order_frequency,days_since_purchase,historical_return_rate,category_return_rate,category_baseline_return_rate,verified_abuse_history,baseline_deviation,drift_score,return_burst_flag,high_value_concentration,abnormal_timing_flag,cross_category_flag,account_age_risk,recent_order_frequency_change,refund_amount_last_30_days,payment_amount,refund_amount,payment_count_7d,payment_count_30d,refund_count_7d,refund_count_30d,payment_frequency,refund_frequency,transaction_velocity,historical_refund_rate,current_refund_rate,refund_to_payment_ratio,avg_historical_refund_amount,time_between_payment_and_refund,days_since_payment,is_abuse
0.0,0.0,0,0.97,69.72,0.0,163,0.342,5,0.0,0.0,0.07,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,67.61,67.61,1,2,0,0,0.37,0.0,0.09,0.0,0.0,0.4849,0.0,5,5,1
0.333,0.25,0,0.844,180.2,67.61,242,0.342,14,0.25,0.0,0.2,0,0.833,26.7,0,0.0,1,0,0,0.0,0.0,152.01,152.01,0,1,0,0,0.5,0.33,0.11,0.25,0.0,0.3047,67.61,14,14,1
0.0,0.3333,0,2.05,242.66,109.81,344,0.342,11,0.3333,0.5,0.07,0,-3.333,0.0,0,0.0,1,0,0,0.0,0.0,497.42,497.42,0,1,0,0,0.52,0.0,0.12,0.3333,0.0,0.4925,109.81,11,11,1
0.0,0.375,0,1.125,252.98,239.01,659,0.342,3,0.375,0.0,0.12,0,-3.75,0.0,0,0.333,0,0,0,0.0,0.0,284.64,284.64,1,1,0,0,0.36,0.0,0.08,0.375,0.0,0.4949,239.01,3,3,1
0.0,0.4,0,1.305,239.11,250.42,836,0.342,27,0.4,0.0,0.05,0,-4.0,0.0,0,0.5,0,0,0,0.0,0.0,311.98,311.98,0,1,0,0,0.36,0.0,0.08,0.4,0.0,0.5494,250.42,27,27,1
0.0,0.0,0,1.0,189.73,0.0,22,4.648,6,0.0,0.0,0.07,0,0.0,10.0,0,0.0,0,0,1,1.64,0.0,189.73,189.73,1,1,0,0,1.36,0.0,0.31,0.0,0.0,1.0,0.0,6,6,1
0.333,0.2,1,0.467,228.49,189.73,41,4.648,10,0.2,0.0,0.1,0,1.333,36.7,0,0.0,0,0,0,1.64,189.73,106.6,106.6,1,5,0,1,3.66,0.33,0.84,0.2,0.2,0.2594,189.73,10,10,1
0.667,0.25,2,1.101,270.14,148.16,48,4.648,5,0.25,0.3333,0.1,0,4.167,93.3,0,0.0,0,0,0,1.64,296.33,297.4,297.4,3,7,1,2,5.0,0.67,1.15,0.25,0.2857,0.2747,148.16,5,5,1
1.0,0.3333,2,1.418,272.3,197.91,59,4.648,17,0.3333,0.6667,0.1,0,6.667,100.0,0,0.333,1,0,0,1.64,404.0,386.05,386.05,1,6,0,2,4.58,1.0,1.06,0.3333,0.3333,0.3998,197.91,17,17,1
1.333,0.3636,3,0.793,285.12,244.94,71,4.648,4,0.3636,0.0,0.12,0,9.697,100.0,0,0.5,1,0,0,1.64,790.05,225.97,225.97,2,6,0,3,4.65,1.33,1.07,0.3636,0.5,0.3845,244.94,4,4,1
0.0,0.0,0,0.87,213.31,0.0,681,0.192,13,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,185.68,185.68,0,1,0,0,0.18,0.0,0.04,0.0,0.0,0.2176,0.0,13,13,0
0.0,0.0,0,1.279,274.44,0.0,376,0.452,17,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,351.01,351.01,0,1,0,0,0.64,0.0,0.15,0.0,0.0,0.1599,0.0,17,17,0
0.0,0.0,0,1.0,115.85,0.0,79,0.466,3,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,2.373,0.0,115.85,115.85,1,1,0,0,0.38,0.0,0.09,0.0,0.0,1.0,0.0,3,3,1
0.0,0.25,0,0.612,253.58,115.85,218,0.466,28,0.25,0.5,0.12,0,-2.5,0.0,0,0.0,0,0,0,2.373,0.0,155.25,155.25,0,2,0,0,0.55,0.0,0.13,0.25,0.0,0.2673,115.85,28,28,1
0.333,0.5,1,0.989,253.58,135.55,224,0.466,29,0.5,0.0,0.08,0,-1.667,0.0,0,0.0,1,0,0,2.373,155.25,250.68,250.68,0,1,1,1,0.54,0.33,0.12,0.5,1.0,0.5144,135.55,29,29,1
0.0,0.0,0,1.695,262.3,0.0,846,0.213,28,0.0,0.0,0.07,0,0.0,10.0,0,0.0,1,0,0,5.44,0.0,444.62,444.62,0,1,0,0,0.21,0.0,0.05,0.0,0.0,0.2825,0.0,28,28,0
0.0,0.0,0,0.519,238.01,0.0,29,4.138,5,0.0,0.0,0.05,0,0.0,10.0,0,0.0,0,0,1,1.0,0.0,123.51,123.51,2,4,0,0,4.14,0.0,0.96,0.0,0.0,0.1297,0.0,5,5,0
0.0,0.0,0,1.0,311.63,0.0,196,0.152,12,0.0,0.0,0.12,1,0.0,10.0,0,0.0,0,0,0,0.0,0.0,311.63,311.63,0,1,0,0,0.15,0.0,0.04,0.0,0.0,1.0,0.0,12,12,1
0.0,0.5,0,0.998,311.04,311.63,310,0.152,21,0.5,0.0,0.1,1,-5.0,0.0,0,1.0,0,0,0,0.0,0.0,310.45,310.45,0,1,0,0,0.19,0.0,0.04,0.5,0.0,1.0,311.63,21,21,1
0.0,0.5,0,1.291,304.88,311.04,614,0.152,5,0.5,0.0,0.2,1,-5.0,0.0,0,1.0,1,0,0,0.0,0.0,393.69,393.69,1,1,0,0,0.2,0.0,0.05,0.5,0.0,0.8329,311.04,5,5,1
0.0,0.6,0,0.146,251.25,338.59,941,0.152,25,0.6,0.0,0.07,1,-6.0,0.0,0,1.0,0,0,0,0.0,0.0,36.7,36.7,0,1,0,0,0.16,0.0,0.04,0.6,0.0,0.8378,338.59,25,25,1
0.0,0.0,0,0.32,246.11,0.0,394,0.813,26,0.0,0.0,0.2,0,0.0,10.0,0,0.0,1,0,0,0.0,0.0,78.87,78.87,0,1,0,0,0.84,0.0,0.19,0.0,0.0,0.0291,0.0,26,26,0
0.0,0.0,0,1.0,441.42,0.0,200,0.363,21,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,441.42,441.42,0,1,0,0,0.15,0.0,0.03,0.0,0.0,1.0,0.0,21,21,1
0.0,0.2,0,0.346,286.48,441.42,434,0.363,21,0.2,0.0,0.05,0,-2.0,0.0,0,1.0,0,0,0,0.0,0.0,99.04,99.04,0,1,0,0,0.35,0.0,0.08,0.2,0.0,0.3773,441.42,21,21,1
0.0,0.3333,0,0.316,252.0,270.23,605,0.363,18,0.3333,0.0,0.12,0,-3.333,0.0,0,0.5,0,0,0,0.0,0.0,79.6,79.6,0,1,0,0,0.3,0.0,0.07,0.3333,0.0,0.4101,270.23,18,18,1
0.333,0.375,1,1.122,263.76,206.69,632,0.363,17,0.375,0.5,0.12,0,-0.417,1.7,0,0.333,0,0,0,0.0,79.6,295.95,295.95,0,2,0,1,0.38,0.33,0.09,0.375,0.5,0.4341,206.69,17,17,1
0.333,0.4444,0,0.992,263.5,229.0,708,0.363,21,0.4444,0.0,0.07,0,-1.111,0.0,0,0.5,0,0,0,0.0,0.0,261.37,261.37,0,1,0,0,0.38,0.33,0.09,0.4444,0.0,0.4965,229.0,21,21,1
0.0,0.0,0,1.0,251.81,0.0,6,1.014,2,0.0,0.0,0.05,0,0.0,10.0,0,0.0,0,0,1,0.985,0.0,251.81,251.81,1,1,0,0,5.0,0.0,1.15,0.0,0.0,1.0,0.0,2,2,1
0.333,0.25,1,1.292,218.09,251.81,34,1.014,8,0.25,0.0,0.08,0,0.833,26.7,0,1.0,0,0,0,0.985,251.81,281.88,281.88,0,4,0,1,3.53,0.33,0.82,0.25,0.25,0.6118,251.81,8,8,1
0.667,0.5,1,0.192,218.09,266.85,38,1.014,12,0.5,0.0,0.1,0,1.667,43.3,0,1.0,0,0,0,0.985,281.88,41.82,41.82,0,3,1,1,3.16,0.67,0.73,0.5,0.3333,0.6597,266.85,12,12,1
0.0,0.4286,0,1.661,233.71,191.84,149,1.014,8,0.4286,0.0,0.2,0,-4.286,0.0,0,0.667,0,0,0,0.985,0.0,388.14,388.14,0,2,0,0,1.41,0.0,0.33,0.4286,0.0,0.589,191.84,8,8,1
0.0,0.4,0,0.984,256.44,240.91,278,1.014,28,0.4,0.0,0.07,0,-4.0,0.0,0,0.75,0,0,0,0.985,0.0,252.44,252.44,0,1,0,0,1.08,0.0,0.25,0.4,0.0,0.4742,240.91,28,28,1
0.333,0.4545,0,0.657,247.93,243.22,330,1.014,13,0.4545,0.5,0.07,0,-1.212,0.0,0,0.8,0,0,0,0.985,0.0,162.77,162.77,0,1,0,0,1.0,0.33,0.23,0.4545,0.0,0.5056,243.22,13,13,1
0.0,0.0,0,1.388,261.11,0.0,108,0.785,21,0.0,0.0,0.2,1,0.0,10.0,0,0.0,0,0,0,1.293,0.0,362.52,362.52,0,1,0,0,0.83,0.0,0.19,0.0,0.0,0.4628,0.0,21,21,1
0.333,0.25,0,1.219,281.69,362.52,160,0.785,14,0.25,0.0,0.05,1,0.833,26.7,0,1.0,0,0,0,1.293,0.0,343.43,343.43,0,1,0,0,0.75,0.33,0.17,0.25,0.0,0.6265,362.52,14,14,1
0.667,0.3333,1,0.964,320.66,352.98,185,0.785,24,0.3333,0.3333,0.2,1,3.333,76.7,0,1.0,0,0,0,1.293,343.43,309.18,309.18,0,2,0,1,0.97,0.67,0.22,0.3333,0.5,0.5276,352.98,24,24,1
1.0,0.5,2,1.522,320.66,338.38,190,0.785,21,0.5,0.6667,0.2,1,5.0,100.0,0,1.0,0,0,0,1.293,652.61,488.04,488.04,0,2,1,2,0.95,1.0,0.22,0.5,1.0,0.7813,338.38,21,21,1
1.333,0.5714,2,1.234,333.65,375.79,196,0.785,1,0.5714,0.0,0.07,1,7.619,100.0,0,1.0,0,0,0,1.293,797.22,411.56,411.56,1,2,1,2,1.07,1.33,0.25,0.5714,1.0,0.8198,375.79,1,1,1
0.0,0.4545,0,0.831,307.11,382.95,289,0.785,23,0.4545,0.0,0.03,1,-4.545,0.0,0,1.0,0,0,0,1.293,0.0,255.13,255.13,0,2,0,0,1.14,0.0,0.26,0.4545,0.0,0.6423,382.95,23,23,1
0.333,0.5455,1,0.679,307.11,361.64,293,0.785,27,0.5455,0.6,0.2,1,-2.121,0.0,0,1.0,0,0,0,1.293,255.13,208.62,208.62,0,2,1,1,1.13,0.33,0.26,0.5455,0.5,0.7041,361.64,27,27,1
0.0,0.4667,0,0.134,293.5,339.78,549,0.785,16,0.4667,0.1429,0.03,1,-4.667,0.0,0,1.0,0,0,0,1.293,0.0,39.32,39.32,1,2,0,0,0.82,0.0,0.19,0.4667,0.0,0.5492,339.78,16,16,1
0.333,0.5333,1,0.571,293.5,302.23,568,0.785,23,0.5333,0.2857,0.03,1,-2.0,0.0,0,0.875,0,0,0,1.293,39.32,167.69,167.69,0,1,0,1,0.79,0.33,0.18,0.5333,1.0,0.5873,302.23,23,23,1
0.0,0.0,0,0.738,368.08,0.0,97,0.422,13,0.0,0.0,0.03,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,271.67,271.67,1,2,0,0,0.62,0.0,0.14,0.0,0.0,0.369,0.0,13,13,0
0.0,0.1667,0,0.897,326.18,271.67,240,0.422,21,0.1667,0.0,0.05,0,-1.667,0.0,0,1.0,0,0,0,0.0,0.0,292.53,292.53,0,1,0,0,0.75,0.0,0.17,0.1667,0.0,0.2883,271.67,21,21,0
0.0,0.25,0,0.088,277.46,282.1,418,0.422,5,0.25,0.0,0.1,0,-2.5,0.0,0,1.0,0,0,0,0.0,0.0,24.45,24.45,1,1,0,0,0.57,0.0,0.13,0.25,0.0,0.2652,282.1,5,5,0
0.0,0.0,0,0.567,206.44,0.0,257,0.526,9,0.0,0.0,0.03,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,117.04,117.04,0,3,0,0,0.93,0.0,0.22,0.0,0.0,0.0709,0.0,9,9,0
0.0,0.0,0,1.055,259.45,0.0,457,0.626,15,0.0,0.0,0.07,0,0.0,10.0,0,0.0,0,0,0,3.561,0.0,273.84,273.84,0,2,0,0,0.59,0.0,0.14,0.0,0.0,0.1173,0.0,15,15,0
0.333,0.1,0,0.936,257.61,273.84,529,0.626,17,0.1,0.0,0.2,0,2.333,56.7,0,1.0,0,0,0,3.561,0.0,241.1,241.1,0,1,0,0,0.57,0.33,0.13,0.1,0.0,0.1999,273.84,17,17,0
0.0,0.0,0,1.0,486.7,0.0,25,0.952,15,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,1,0.0,0.0,486.7,486.7,0,1,0,0,1.2,0.0,0.28,0.0,0.0,1.0,0.0,15,15,1
0.333,0.25,0,0.73,393.43,486.7,108,0.952,8,0.25,0.5,0.1,0,0.833,26.7,0,1.0,0,0,0,0.0,0.0,287.22,287.22,0,2,0,0,1.11,0.33,0.26,0.25,0.0,0.4918,486.7,8,8,1
0.333,0.3333,1,1.291,381.98,386.96,128,0.952,10,0.3333,0.0,0.2,0,0.0,10.0,0,1.0,0,0,0,0.0,287.22,493.13,493.13,1,3,0,1,1.41,0.33,0.32,0.3333,0.3333,0.5528,386.96,10,10,1
0.667,0.4286,1,0.639,352.13,422.35,148,0.952,23,0.4286,0.0,0.08,0,2.381,57.6,0,1.0,0,0,0,0.0,493.13,225.06,225.06,1,3,0,1,1.42,0.67,0.33,0.4286,0.3333,0.6053,422.35,23,23,1
0.667,0.5,0,0.651,335.43,373.03,206,0.952,25,0.5,0.5,0.2,0,1.667,43.3,0,1.0,0,0,0,0.0,0.0,218.51,218.51,0,1,0,0,1.17,0.67,0.27,0.5,0.0,0.6375,373.03,25,25,1
0.0,0.0,0,1.142,343.41,0.0,69,4.333,28,0.0,0.0,0.05,0,0.0,10.0,0,0.0,0,0,0,2.333,0.0,392.25,392.25,3,5,0,0,3.91,0.0,0.9,0.0,0.0,0.1269,0.0,28,28,0
0.0,0.0,0,0.434,198.38,0.0,44,1.648,24,0.0,0.0,0.07,0,0.0,10.0,0,0.0,0,0,0,1.267,0.0,86.0,86.0,1,3,0,0,2.05,0.0,0.47,0.0,0.0,0.1445,0.0,24,24,0
0.333,0.3333,1,0.247,198.38,86.0,45,1.648,27,0.3333,0.0,0.05,0,0.0,10.0,0,0.0,0,0,0,1.267,86.0,49.02,49.02,1,3,1,1,2.0,0.33,0.46,0.3333,0.3333,0.2269,86.0,27,27,0
0.0,0.2,0,1.519,278.3,67.51,180,1.648,18,0.2,0.0,0.1,0,-2.0,0.0,0,0.0,0,0,0,1.267,0.0,422.75,422.75,1,2,0,0,1.67,0.0,0.38,0.2,0.0,0.2004,67.51,18,18,0
0.0,0.0,0,1.54,293.82,0.0,19,10.714,14,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,1,0.8,0.0,452.61,452.61,3,8,0,0,12.63,0.0,2.92,0.0,0.0,0.1926,0.0,14,14,0
0.333,0.1111,1,0.938,311.21,452.61,26,10.714,9,0.1111,0.5,0.2,0,2.222,54.4,0,1.0,0,0,1,0.8,452.61,292.01,292.01,1,9,1,1,10.38,0.33,2.4,0.1111,0.1111,0.2659,452.61,9,9,0
0.667,0.2,2,1.423,326.21,372.31,27,10.714,20,0.2,0.0,0.08,0,4.667,100.0,0,1.0,0,0,1,0.8,744.62,464.28,464.28,2,10,1,2,11.11,0.67,2.57,0.2,0.2,0.3706,372.31,20,20,0
1.0,0.2,3,0.603,297.03,402.97,42,10.714,7,0.2,0.0,0.12,0,8.0,100.0,0,1.0,0,0,0,0.8,1208.9,179.01,179.01,3,10,0,3,10.71,1.0,2.47,0.2,0.3,0.3115,402.97,7,7,0
0.0,0.0,0,1.299,288.71,0.0,384,0.212,3,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,375.03,375.03,1,1,0,0,0.16,0.0,0.04,0.0,0.0,0.6495,0.0,3,3,0
0.333,0.25,0,1.335,237.41,375.03,463,0.212,10,0.25,0.0,0.12,0,0.833,26.7,0,1.0,0,0,0,0.0,0.0,316.94,316.94,0,1,0,0,0.26,0.33,0.06,0.25,0.0,0.7287,375.03,10,10,0
0.0,0.0,0,1.0,228.64,0.0,116,0.618,14,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,228.64,228.64,0,1,0,0,0.26,0.0,0.06,0.0,0.0,1.0,0.0,14,14,1
0.0,0.2,0,0.395,219.48,228.64,251,0.618,26,0.2,0.5,0.2,0,-2.0,0.0,0,1.0,0,0,0,0.0,0.0,86.64,86.64,0,2,0,0,0.6,0.0,0.14,0.2,0.0,0.2873,228.64,26,26,1
0.333,0.2857,0,1.874,241.54,157.64,298,0.618,13,0.2857,0.0,0.08,0,0.476,19.5,0,0.5,0,0,0,0.0,0.0,452.55,452.55,0,2,0,0,0.7,0.33,0.16,0.2857,0.0,0.4541,157.64,13,13,1
0.0,0.3333,0,0.947,217.77,255.94,452,0.618,5,0.3333,0.0,0.07,0,-3.333,0.0,0,0.667,0,0,0,0.0,0.0,206.14,206.14,1,2,0,0,0.6,0.0,0.14,0.3333,0.0,0.4969,255.94,5,5,1
0.0,0.0,0,2.161,190.63,0.0,322,0.36,24,0.0,0.0,0.05,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,411.92,411.92,0,3,0,0,0.56,0.0,0.13,0.0,0.0,0.3601,0.0,24,24,0
0.0,0.0,0,0.6,273.71,0.0,310,1.289,20,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,0.76,0.0,164.13,164.13,1,2,0,0,1.35,0.0,0.31,0.0,0.0,0.0428,0.0,20,20,0
0.333,0.0667,0,0.838,270.57,164.13,349,1.289,6,0.0667,0.0,0.12,0,2.667,63.3,0,0.0,0,0,0,0.76,0.0,226.62,226.62,1,1,0,0,1.29,0.33,0.3,0.0667,0.0,0.0963,164.13,6,6,0
